result,description
0.7047049366515403,pip install diff_cover
0.7423795936012895,npm install --silent --progress=false --production
0.7047049366515403,pip3 install uwsgi
0.7341803867936099,"php -r ""unlink('composer-setup.php');"""
0.7341803867936099,php composer-setup.php
0.7015630598880978,git clone -b certified/11.6 --depth 1 https://gerrit.asterisk.org/asterisk
0.7792033879620435,make menuselect.makeopts
0.7537307665708453,gem install bundler
0.7047049366515403,pip install Flask dnspython oauth2client google-api-python-client httplib2 google-cloud
0.7279866426543917,cd /home     && git clone https://github.com/gangtao/dataplay3
0.7047049366515403,"pip install ""Django==1.5"""
0.7047049366515403,"pip install ""uWSGI"""
0.7047049366515403,"pip install ""pydicom"""
0.7047049366515403,"pip install ""requests"""
0.702540691949395,apt-get update -qq --fix-missing
0.7670142598146806,git clone --depth=1 https://github.com/jvm-profiling-tools/async-profiler     && cd async-profiler && make
0.7487077461313602,git clone --depth=1 https://github.com/jvm-profiling-tools/perf-map-agent     && cd perf-map-agent && cmake . && make
0.7065799451693647,"export CHROMEDRIVER_RELEASE=$(curl --location --fail --retry 3 http://chromedriver.storage.googleapis.com/LATEST_RELEASE)       && curl --silent --show-error --location --fail --retry 3 --output /tmp/chromedriver_linux64.zip ""http://chromedriver.storage.googleapis.com/$CHROMEDRIVER_RELEASE/chromedriver_linux64.zip""       && cd /tmp       && unzip chromedriver_linux64.zip       && rm -rf chromedriver_linux64.zip       && sudo mv chromedriver /usr/local/bin/chromedriver       && sudo chmod +x /usr/local/bin/chromedriver       && chromedriver --version"
0.7792033879620435,make modules_prepare
0.7933301242944476,groupadd -g 939 --system docker
0.7047049366515403,pip install flask
0.7047049366515403,pip install kafka-python
0.7213423368814028,"CC=mpicc HDF5_MPI=""ON"" pip install --no-cache-dir --no-binary=h5py h5py"
0.8388310930100406,"tar zxf petsc-lite-3.9.3.tar.gz && cd petsc-3.9.3 &&     ./configure --with-debugging=0 --prefix=/usr                                                 --COPTFLAGS=""-g -O3"" --CXXOPTFLAGS=""-g -O3"" --FOPTFLAGS=""-g -O3""                 --download-petsc4py=1                     --download-mpi4py=1                       --download-mumps=1                        --download-parmetis=1                     --download-metis=1                        --download-superlu=1                      --download-hypre=1                        --download-cmake=1                        --download-scalapack=1                    --download-superlu_dist=1                 --download-superlu=1                      --download-fblaslapack=1                  --download-hdf5=1                                                    &&     make PETSC_DIR=/tmp/petsc-build/petsc-3.9.3 PETSC_ARCH=arch-linux2-c-opt all     &&     make PETSC_DIR=/tmp/petsc-build/petsc-3.9.3 PETSC_ARCH=arch-linux2-c-opt install &&     cd /tmp &&     rm -fr *"
0.7047049366515403,pip3 install biopython
0.7132684608541695,"php -r ""copy('https://raw.githubusercontent.com/composer/getcomposer.org/master/web/installer', 'composer-setup.php');"" &&     php composer-setup.php &&     php -r ""unlink('composer-setup.php');"" &&     mv composer.phar /usr/local/bin/composer"
0.7374428647572501,"set -x 	&& export SECCOMP_PATH=""$(mktemp -d)"" 	&& curl -fsSL ""https://github.com/seccomp/libseccomp/releases/download/v${SECCOMP_VERSION}/libseccomp-${SECCOMP_VERSION}.tar.gz"" 		| tar -xzC ""$SECCOMP_PATH"" --strip-components=1 	&& ( 		cd ""$SECCOMP_PATH"" 		&& ./configure --prefix=/usr/local 		&& make 		&& make install 		&& ldconfig 	) 	&& rm -rf ""$SECCOMP_PATH"""
0.7750951768450942,cd /trisycl; cmake . -DTRISYCL_OPENCL=${opencl}                                -DTRISYCL_OPENMP=${openmp} -DCMAKE_C_COMPILER=${c_compiler}                    -DCMAKE_CXX_COMPILER=${cxx_compiler} && make -j`nproc`
